temperature,eDensity,gofnt
696397.4029624328,5040816326.530613,2.978033476454867e-26
729903.2646361388,5040816326.530613,3.9035785388363564e-26
765021.19832752,5040816326.530613,4.971341960407038e-26
801828.7658738301,5040816326.530613,6.146368701907702e-26
840407.2608554034,5040816326.530613,7.36954398431781e-26
880841.8881415128,5040816326.530613,8.555354953145176e-26
923221.9520747317,5040816326.530613,9.599981230080658e-26
967641.0537094537,5040816326.530613,1.0393570878045622e-25
1014197.2975401576,5040816326.530613,1.0837561698852666e-25
1062993.5081760285,5040816326.530613,1.0866044180733324e-25
1114137.4574404613,5040816326.530613,1.0462621914710246e-25
1167742.1023970542,5040816326.530613,9.663664315514873e-26
1223925.834827758,5040816326.530613,8.556372080400501e-26
1282812.7427142137,5040816326.530613,7.259002117019836e-26
1344532.8842997623,5040816326.530613,5.89666435256165e-26
1409222.5753374626,5040816326.530613,4.582096630255218e-26
1477024.690158485,5040816326.530613,3.402520347518077e-26
1548088.9772258627,5040816326.530613,2.411251342566469e-26
1622572.3898705235,5040816326.530613,1.628382888867449e-26
1700639.4329400521,5040816326.530613,1.0451861611404752e-26
1782462.5261258448,5040816326.530613,6.351677877947391e-27
1868222.3847710367,5040816326.530613,3.642506604784104e-27
1958108.4190003115,5040816326.530613,1.968538571329041e-27
2052319.1520530963,5040816326.530613,1.002020862100339e-27
2151062.6587440567,5040816326.530613,4.827814721867998e-28
2254557.0250193435,5040816326.530613,2.222084541654051e-28
2363030.8296234924,5040816326.530613,9.866569533790965e-29
2476723.6489408244,5040816326.530613,4.273525518645581e-29
2595886.586126396,5040816326.530613,1.825564458256957e-29
2720782.8256950434,5040816326.530613,7.7522474528345e-30
2851688.2147934726,5040816326.530613,3.292356628715007e-30
2988891.8724391717,5040816326.530613,1.4051532625937281e-30
3132696.828071686,5040816326.530613,6.041408233878508e-31
3283420.6908266563,5040816326.530613,2.621922322411985e-31
3441396.3510106686,5040816326.530613,1.1494956739832844e-31
3606972.7153262887,5040816326.530613,5.092129136806484e-32
